deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
3538.wav,2.852255,2.449323,3.4503257,2.690929,3.5846813,NISQAv2
3479.wav,1.8680433,2.047994,3.4703531,2.4186614,2.9064784,NISQAv2
1371.wav,1.8488969,2.193228,3.486899,2.2198079,2.558506,NISQAv2
3899.wav,1.9111471,2.876427,2.6618845,2.2802775,2.8348825,NISQAv2
0936.wav,2.1725402,2.7062156,4.3742495,3.5068,2.7611105,NISQAv2
0133.wav,2.3204825,2.943306,3.387454,2.0450556,2.8251631,NISQAv2
1819.wav,1.8605623,2.5055592,3.6920924,1.8327419,2.0908427,NISQAv2
3289.wav,1.3643848,2.1140893,1.9246161,1.7667584,2.4896178,NISQAv2
0958.wav,1.2497084,2.0846875,1.7397542,1.8582925,2.9223135,NISQAv2
0424.wav,1.9439958,2.0148227,3.9347901,2.4863303,2.6341069,NISQAv2
3839.wav,1.7451471,2.2355535,2.4903295,2.089689,2.7307904,NISQAv2
1764.wav,1.2167888,3.728947,1.52578,1.9371978,2.9967153,NISQAv2
1392.wav,2.8080766,2.6465666,4.311265,3.0387022,3.6345701,NISQAv2
1506.wav,1.7982085,3.6939576,2.614257,1.9419681,2.3926563,NISQAv2
1924.wav,2.2214386,2.245778,3.6733015,2.2483485,2.5375552,NISQAv2
0359.wav,1.5243717,2.9755795,2.4786167,1.9531624,2.4197392,NISQAv2
2277.wav,1.738527,2.221723,3.5099099,2.3044655,1.7438405,NISQAv2
0549.wav,3.7288814,3.6094534,4.3375154,3.6363025,4.0935044,NISQAv2
0344.wav,3.8842227,3.9259527,4.3586154,3.8603008,4.2178855,NISQAv2
3091.wav,1.8353406,1.8427379,2.115228,2.1701279,2.5245416,NISQAv2
0653.wav,1.1657903,3.7356894,1.4305105,2.4360716,3.242396,NISQAv2
2496.wav,1.7637821,2.5693514,1.9573455,2.1612618,2.8487556,NISQAv2
3176.wav,2.2520378,2.0799942,3.6974232,2.500523,2.6808577,NISQAv2
3032.wav,1.4757917,2.253319,2.3597972,2.1517627,3.0774152,NISQAv2
3947.wav,2.263934,2.3484666,3.911558,2.6837807,2.9277608,NISQAv2
0094.wav,3.1605394,2.954612,2.9669454,3.3083634,3.7332263,NISQAv2
0334.wav,2.2930624,2.2923582,4.159978,2.0630023,2.7938058,NISQAv2
3642.wav,2.8864326,2.3166134,3.5828886,2.9930387,3.2812817,NISQAv2
1125.wav,1.7275132,2.3207633,3.6811278,1.7364174,1.8833803,NISQAv2
2293.wav,3.4791427,2.3663986,4.5165234,3.6333184,4.204399,NISQAv2
0377.wav,1.9428242,2.1160042,3.454634,2.028632,2.3706312,NISQAv2
0679.wav,1.7972821,2.2282076,3.0197284,1.8598018,2.3509333,NISQAv2
0644.wav,2.7788744,3.782197,3.7504287,2.4556656,3.3013885,NISQAv2
2932.wav,1.9990687,1.8762517,3.2536678,2.5454328,2.8886366,NISQAv2
3851.wav,1.9136542,2.66053,3.9715798,2.32093,1.9533556,NISQAv2
3530.wav,1.4164733,1.7135444,3.5593812,2.6091583,2.1632435,NISQAv2
1551.wav,2.201217,3.5710073,3.538305,2.4987779,2.3305051,NISQAv2
2198.wav,2.56726,2.3516874,4.0190988,2.9967706,2.4611387,NISQAv2
0348.wav,2.832845,3.673968,3.2860978,2.9673383,3.7627077,NISQAv2
0993.wav,2.9022267,3.3899593,3.510194,2.8434308,3.3168404,NISQAv2
3765.wav,2.1463866,2.4041536,3.6969829,1.9429201,2.4245613,NISQAv2
1902.wav,1.194636,3.1787796,2.218163,1.8851962,2.384334,NISQAv2
3075.wav,1.4674062,2.3138373,3.5898998,2.0052042,1.6780775,NISQAv2
0148.wav,3.8011909,3.1641443,4.57814,3.936658,3.785597,NISQAv2
1050.wav,1.2970372,2.969691,2.39241,2.2072155,3.2535503,NISQAv2
2327.wav,1.4899889,1.7665441,2.7752554,2.2616181,2.3433232,NISQAv2
2449.wav,2.6596124,2.741286,3.3969598,2.3394873,3.360757,NISQAv2
3664.wav,1.9912555,2.702938,3.9955747,2.8783107,1.8958712,NISQAv2
3746.wav,2.0326273,2.3133428,2.7203915,2.4451313,2.17897,NISQAv2
3971.wav,1.897427,2.2418687,3.8065565,2.3794706,2.3453763,NISQAv2
1059.wav,1.5736438,3.3146527,1.9773123,1.9709693,2.9857662,NISQAv2
1370.wav,2.2082348,2.501817,3.6700237,2.2422225,3.0498984,NISQAv2
2159.wav,1.7162415,2.1911435,3.7240598,2.3287005,1.7893814,NISQAv2
3084.wav,1.5960904,1.9468772,3.1100073,1.9079942,2.0121763,NISQAv2
0571.wav,1.5300654,1.7784753,3.1267023,1.9136865,1.937655,NISQAv2
2337.wav,2.372807,2.2351792,3.879466,2.3914015,2.8124607,NISQAv2
0240.wav,2.5698397,3.6234086,3.6709166,2.735764,3.7071922,NISQAv2
2084.wav,1.8404136,2.1384518,3.8249989,2.2674608,2.5128238,NISQAv2
3340.wav,3.4191277,2.771633,4.3804555,3.4914405,3.8987358,NISQAv2
3002.wav,1.6625162,3.5164242,3.970044,2.9703496,1.673896,NISQAv2
3598.wav,2.6847696,2.6475403,2.932564,2.3013785,3.224643,NISQAv2
1605.wav,1.8289632,3.9108694,1.9892523,2.3627713,3.2349443,NISQAv2
2885.wav,2.17442,2.2959576,3.0826237,2.5638158,3.0813904,NISQAv2
1174.wav,1.7573853,2.593156,2.862222,1.8204368,2.1387727,NISQAv2
0638.wav,1.8562319,2.3835106,3.7725754,2.5082068,2.6048877,NISQAv2
0779.wav,1.9658235,2.057314,3.4710658,1.9592488,2.386888,NISQAv2
0403.wav,1.330046,3.200198,1.7393734,2.1143603,3.1403599,NISQAv2
3859.wav,1.7457166,2.6062558,3.722592,2.2983453,1.8542418,NISQAv2
2801.wav,1.5642216,2.7773917,3.7686572,2.2470486,1.7742877,NISQAv2
1314.wav,1.7968422,2.9345276,1.9224083,2.1028664,2.9647892,NISQAv2
1970.wav,1.9994497,2.3005557,3.8125045,1.9360083,2.2260122,NISQAv2
3111.wav,1.718449,2.6635473,3.5607097,2.1932564,1.8127437,NISQAv2
2092.wav,3.7354305,3.3709385,4.5982656,3.6683128,3.715587,NISQAv2
3718.wav,1.8784851,2.6857946,2.9636052,1.9736979,2.4940255,NISQAv2
0033.wav,2.083403,2.3136628,3.075166,2.006782,2.6130655,NISQAv2
3932.wav,1.6731375,1.9568758,2.9950104,2.3117402,2.5774767,NISQAv2
1203.wav,1.894389,3.5168822,2.4062564,2.7301118,2.5989897,NISQAv2
1011.wav,1.9337682,3.3685381,2.6436682,2.338045,3.1476748,NISQAv2
1887.wav,1.7064459,1.9867606,3.3817503,1.7785124,2.013801,NISQAv2
2455.wav,1.3117956,2.5269544,2.963669,1.9276731,1.6661155,NISQAv2
